feature,importance_mean,importance_std
Lagging_Current_Reactive.Power_kVarh,1.0516196715467143,0.02086220380219942
CO2(tCO2),0.9385444816370508,0.011712452765224248
Load_Type_encoded,0.2585055395421728,0.0038721664190855174
Lagging_Current_Power_Factor,0.038290617343519254,0.0003943150965775465
NSM,0.028629299362420015,0.0014919151956010368
Leading_Current_Power_Factor,0.008982706199556045,0.00024340196564832573
Leading_Current_Reactive_Power_kVarh,0.0020864210037198185,7.050738255192705e-05
WeekStatus_encoded,0.00012384018857298785,4.26078443242627e-05
Day_of_week_encoded,8.164942518918971e-05,2.5089434661870793e-05
